Npedido;Fecha;Sucursal;Vendedor;Tipo;Categoria; Precio ; Costo ;Propina
3;15/11/2018;1;Andres;Comida;Gaseosa;$ 90,00;$ 18,25;10%
3;25/11/2018;1;Andres;Comida;Gaseosa;$ 90,00;$ 21,60;10%
3;11/10/2019;1;Andres;Comida;Cervezas;$ 110,00;$ 24,90;10%
3;25/6/2018;1;Andres;Comida;Cervezas;$ 110,00;$ 23,70;10%
3;19/4/2019;1;Andres;Bebida;Postres;$ 80,00;$ 39,00;10%
3;4/2/2018;1;Andres;Bebida;Postres;$ 80,00;$ 31,50;10%
3;13/9/2019;1;Andres;Bebida;Ensaladas;$ 150,00;$ 68,88;10%
3;20/11/2018;1;Andres;Bebida;Pastas;$ 220,00;$ 54,75;10%
4;26/3/2019;6;Rodrigo;Comida;Gaseosa;$ 90,00;$ 16,00;15%
4;9/6/2019;6;Rodrigo;Comida;Gaseosa;$ 90,00;$ 20,00;15%
4;16/5/2018;6;Rodrigo;Comida;Gaseosa;$ 90,00;$ 20,00;15%
4;12/9/2018;6;Rodrigo;Comida;Gaseosa;$ 90,00;$ 12,60;15%
4;12/7/2018;6;Rodrigo;Comida;Gaseosa;$ 90,00;$ 21,60;15%
4;13/12/2018;6;Rodrigo;Comida;Gaseosa;$ 90,00;$ 14,60;15%
4;23/5/2019;6;Rodrigo;Comida;Cervezas;$ 110,00;$ 21,25;15%
4;1/10/2018;6;Rodrigo;Comida;Cervezas;$ 110,00;$ 21,90;15%
4;5/9/2018;6;Rodrigo;Comida;Cervezas;$ 110,00;$ 21,30;15%
4;14/7/2019;6;Rodrigo;Comida;Cervezas;$ 110,00;$ 21,30;15%
4;27/7/2019;6;Rodrigo;Bebida;Pastas;$ 220,00;$ 90,00;15%
4;28/12/2018;6;Rodrigo;Bebida;Pastas;$ 220,00;$ 53,13;15%
4;25/2/2018;6;Rodrigo;Bebida;Pizzas;$ 250,00;$ 73,50;15%
4;8/8/2019;6;Rodrigo;Bebida;Pizzas;$ 250,00;$ 91,25;15%
4;13/5/2018;6;Rodrigo;Bebida;Entradas;$ 105,00;$ 63,18;15%
4;25/8/2018;6;Rodrigo;Bebida;Ensaladas;$ 150,00;$ 68,00;15%
4;22/1/2019;6;Rodrigo;Bebida;Chatarra;$ 70,00;$ 60,75;15%
4;2/10/2019;6;Rodrigo;Bebida;Chatarra;$ 70,00;$ 60,06;15%
5;22/2/2019;2;Miriam;Comida;Gaseosa;$ 90,00;$ 17,75;20%
5;23/4/2018;2;Miriam;Comida;Gaseosa;$ 90,00;$ 18,25;20%
5;2/5/2019;2;Miriam;Comida;Gaseosa;$ 90,00;$ 14,60;20%
5;5/8/2018;2;Miriam;Comida;Gaseosa;$ 90,00;$ 14,60;20%
5;28/1/2018;2;Miriam;Comida;Cervezas;$ 110,00;$ 21,25;20%
5;4/9/2019;2;Miriam;Comida;Cervezas;$ 110,00;$ 24,90;20%
5;26/8/2018;2;Miriam;Comida;Cervezas;$ 110,00;$ 23,70;20%
5;7/5/2019;2;Miriam;Comida;Cervezas;$ 110,00;$ 32,40;20%
5;25/7/2018;2;Miriam;Comida;Cervezas;$ 110,00;$ 21,30;20%
5;25/4/2018;2;Miriam;Bebida;Postres;$ 80,00;$ 33,60;20%
5;27/11/2018;2;Miriam;Bebida;Ensaladas;$ 150,00;$ 75,65;20%
5;5/5/2018;2;Miriam;Bebida;Ensaladas;$ 150,00;$ 68,88;20%
5;11/4/2019;2;Miriam;Bebida;Entradas;$ 105,00;$ 63,18;20%
5;9/11/2019;2;Miriam;Bebida;Pizzas;$ 250,00;$ 88,56;20%
5;10/8/2019;2;Miriam;Bebida;Pizzas;$ 250,00;$ 105,30;20%
5;15/8/2018;2;Miriam;Bebida;Pastas;$ 220,00;$ 132,84;20%
5;10/11/2018;2;Miriam;Bebida;Pastas;$ 220,00;$ 54,75;20%
6;25/3/2019;5;Andres;Comida;Gaseosa;$ 90,00;$ 18,00;5%
6;8/6/2018;5;Andres;Comida;Gaseosa;$ 90,00;$ 12,60;5%
6;16/11/2019;5;Andres;Comida;Gaseosa;$ 90,00;$ 12,60;5%
6;1/7/2018;5;Andres;Comida;Gaseosa;$ 90,00;$ 21,60;5%
6;13/9/2019;5;Andres;Comida;Cervezas;$ 110,00;$ 21,90;5%
6;11/7/2018;5;Andres;Comida;Cervezas;$ 110,00;$ 23,70;5%
6;9/11/2018;5;Andres;Comida;Cervezas;$ 110,00;$ 21,30;5%
6;4/11/2018;5;Andres;Bebida;Chatarra;$ 70,00;$ 60,06;5%
6;30/9/2019;5;Andres;Bebida;Entradas;$ 105,00;$ 63,18;5%
6;24/6/2018;5;Andres;Bebida;Entradas;$ 105,00;$ 52,56;5%
6;16/8/2018;5;Andres;Bebida;Pizzas;$ 250,00;$ 88,56;5%
6;1/12/2019;5;Andres;Bebida;Pastas;$ 220,00;$ 55,61;5%
6;6/3/2018;5;Andres;Bebida;Pastas;$ 220,00;$ 121,80;5%
7;25/1/2019;4;Rodrigo;Comida;Gaseosa;$ 90,00;$ 18,50;15%
7;15/12/2018;4;Rodrigo;Comida;Gaseosa;$ 90,00;$ 12,60;15%
7;26/3/2019;4;Rodrigo;Comida;Gaseosa;$ 90,00;$ 21,60;15%
7;2/5/2018;4;Rodrigo;Bebida;Pizzas;$ 250,00;$ 88,56;15%
7;6/10/2019;4;Rodrigo;Bebida;Ensaladas;$ 150,00;$ 63,00;15%
8;12/5/2018;6;Rodrigo;Comida;Gaseosa;$ 90,00;$ 18,00;8%
8;25/2/2018;6;Rodrigo;Comida;Gaseosa;$ 90,00;$ 20,00;8%
8;15/12/2018;6;Rodrigo;Comida;Gaseosa;$ 90,00;$ 18,50;8%
8;23/1/2019;6;Rodrigo;Comida;Gaseosa;$ 90,00;$ 17,75;8%
8;28/6/2018;6;Rodrigo;Comida;Gaseosa;$ 90,00;$ 12,60;8%
8;24/8/2019;6;Rodrigo;Comida;Gaseosa;$ 90,00;$ 18,25;8%
8;25/5/2019;6;Rodrigo;Comida;Cervezas;$ 110,00;$ 21,25;8%
8;13/7/2019;6;Rodrigo;Comida;Cervezas;$ 110,00;$ 21,30;8%
8;25/3/2018;6;Rodrigo;Bebida;Ensaladas;$ 150,00;$ 63,00;8%
8;7/5/2019;6;Rodrigo;Bebida;Entradas;$ 105,00;$ 52,56;8%
8;30/10/2018;6;Rodrigo;Bebida;Pizzas;$ 250,00;$ 73,50;8%
8;22/6/2019;6;Rodrigo;Bebida;Pastas;$ 220,00;$ 150,48;8%
8;18/10/2018;6;Rodrigo;Bebida;Pastas;$ 220,00;$ 95,85;8%
8;16/11/2018;6;Rodrigo;Bebida;Pastas;$ 220,00;$ 53,13;8%
8;20/10/2018;6;Rodrigo;Bebida;Pastas;$ 220,00;$ 53,13;8%
8;30/5/2019;6;Rodrigo;Bebida;Pastas;$ 220,00;$ 145,96;8%
9;21/6/2019;2;Natalia;Comida;Gaseosa;$ 90,00;$ 17,75;13%
9;7/3/2019;2;Natalia;Comida;Gaseosa;$ 90,00;$ 17,75;13%
9;13/10/2019;2;Natalia;Comida;Gaseosa;$ 90,00;$ 18,25;13%
9;24/8/2018;2;Natalia;Comida;Gaseosa;$ 90,00;$ 14,60;13%
9;29/11/2019;2;Natalia;Comida;Gaseosa;$ 90,00;$ 14,60;13%
9;18/8/2019;2;Natalia;Comida;Cervezas;$ 110,00;$ 24,90;13%
9;1/1/2018;2;Natalia;Comida;Cervezas;$ 110,00;$ 18,00;13%
9;30/8/2019;2;Natalia;Comida;Cervezas;$ 110,00;$ 32,40;13%
9;21/3/2018;2;Natalia;Bebida;Chatarra;$ 70,00;$ 60,06;13%
9;17/2/2019;2;Natalia;Bebida;Postres;$ 80,00;$ 32,40;13%
9;18/7/2018;2;Natalia;Bebida;Postres;$ 80,00;$ 31,50;13%
9;9/3/2018;2;Natalia;Bebida;Ensaladas;$ 150,00;$ 63,00;13%
9;28/4/2019;2;Natalia;Bebida;Pastas;$ 220,00;$ 121,80;13%
10;8/4/2018;14;Rodrigo;Comida;Gaseosa;$ 90,00;$ 20,00;16%
10;20/11/2018;14;Rodrigo;Comida;Gaseosa;$ 90,00;$ 17,75;16%
10;7/2/2018;14;Rodrigo;Comida;Gaseosa;$ 90,00;$ 16,00;16%
10;22/1/2018;14;Rodrigo;Comida;Gaseosa;$ 90,00;$ 18,25;16%
10;2/8/2018;14;Rodrigo;Comida;Gaseosa;$ 90,00;$ 14,60;16%
10;13/4/2018;14;Rodrigo;Comida;Cervezas;$ 110,00;$ 21,25;16%
10;3/4/2019;14;Rodrigo;Comida;Cervezas;$ 110,00;$ 24,90;16%
10;27/9/2018;14;Rodrigo;Comida;Cervezas;$ 110,00;$ 21,30;16%
10;28/2/2018;14;Rodrigo;Comida;Cervezas;$ 110,00;$ 21,30;16%
10;3/1/2018;14;Rodrigo;Bebida;Postres;$ 80,00;$ 32,40;16%
10;4/10/2019;14;Rodrigo;Bebida;Postres;$ 80,00;$ 31,50;16%
10;3/5/2019;14;Rodrigo;Bebida;Ensaladas;$ 150,00;$ 68,00;16%
10;28/12/2018;14;Rodrigo;Bebida;Entradas;$ 105,00;$ 56,98;16%
10;8/1/2018;14;Rodrigo;Bebida;Pizzas;$ 250,00;$ 105,00;16%
10;26/9/2018;14;Rodrigo;Bebida;Pastas;$ 220,00;$ 54,60;16%
11;19/8/2018;9;Joaquin;Comida;Gaseosa;$ 90,00;$ 18,50;5%
11;26/6/2018;9;Joaquin;Comida;Gaseosa;$ 90,00;$ 16,00;5%
11;14/3/2018;9;Joaquin;Comida;Gaseosa;$ 90,00;$ 18,25;5%
11;7/7/2019;9;Joaquin;Comida;Gaseosa;$ 90,00;$ 21,60;5%
11;12/2/2018;9;Joaquin;Comida;Cervezas;$ 110,00;$ 21,90;5%
11;22/9/2018;9;Joaquin;Bebida;Ensaladas;$ 150,00;$ 63,00;5%
11;10/6/2019;9;Joaquin;Bebida;Ensaladas;$ 150,00;$ 56,58;5%
11;18/7/2018;9;Joaquin;Bebida;Entradas;$ 105,00;$ 58,50;5%
11;21/2/2019;9;Joaquin;Bebida;Pizzas;$ 250,00;$ 91,25;5%
11;29/7/2019;9;Joaquin;Bebida;Pastas;$ 220,00;$ 54,60;5%
12;26/11/2019;12;Agustin;Comida;Gaseosa;$ 90,00;$ 18,25;15%
12;30/4/2019;12;Agustin;Comida;Gaseosa;$ 90,00;$ 20,00;15%
12;21/10/2019;12;Agustin;Comida;Gaseosa;$ 90,00;$ 12,60;15%
12;12/7/2019;12;Agustin;Comida;Gaseosa;$ 90,00;$ 14,60;15%
12;28/1/2019;12;Agustin;Bebida;Pizzas;$ 250,00;$ 91,25;15%
12;13/6/2019;12;Agustin;Bebida;Ensaladas;$ 150,00;$ 75,65;15%
13;4/2/2019;12;Agustin;Comida;Gaseosa;$ 90,00;$ 12,60;15%
13;26/2/2018;12;Agustin;Comida;Gaseosa;$ 90,00;$ 14,60;15%
13;24/12/2018;12;Agustin;Comida;Cervezas;$ 110,00;$ 24,90;15%
13;12/10/2018;12;Agustin;Comida;Cervezas;$ 110,00;$ 21,30;15%
13;31/1/2018;12;Agustin;Comida;Cervezas;$ 110,00;$ 21,30;15%
13;13/8/2019;12;Agustin;Bebida;Pastas;$ 220,00;$ 90,00;15%
13;25/10/2018;12;Agustin;Bebida;Pastas;$ 220,00;$ 132,84;15%
13;7/10/2018;12;Agustin;Bebida;Pizzas;$ 250,00;$ 105,00;15%
13;7/6/2019;12;Agustin;Bebida;Pizzas;$ 250,00;$ 112,05;15%
13;20/4/2019;12;Agustin;Bebida;Entradas;$ 105,00;$ 63,20;15%
13;19/7/2019;12;Agustin;Bebida;Postres;$ 80,00;$ 31,50;15%
14;6/9/2018;4;Maria;Comida;Gaseosa;$ 90,00;$ 16,00;15%
14;5/4/2018;4;Maria;Comida;Gaseosa;$ 90,00;$ 17,75;15%
14;22/12/2018;4;Maria;Comida;Cervezas;$ 110,00;$ 21,25;15%
14;17/1/2019;4;Maria;Comida;Cervezas;$ 110,00;$ 32,40;15%
14;19/4/2019;4;Maria;Bebida;Pastas;$ 220,00;$ 55,61;15%
14;20/8/2019;4;Maria;Bebida;Pastas;$ 220,00;$ 95,85;15%
14;6/9/2019;4;Maria;Bebida;Pizzas;$ 250,00;$ 81,90;15%
14;16/3/2018;4;Maria;Bebida;Entradas;$ 105,00;$ 58,50;15%
14;27/11/2018;4;Maria;Bebida;Entradas;$ 105,00;$ 63,18;15%
15;13/10/2018;10;Fabricio;Comida;Gaseosa;$ 90,00;$ 17,75;15%
15;4/10/2018;10;Fabricio;Comida;Cervezas;$ 110,00;$ 32,40;15%
15;13/6/2019;10;Fabricio;Bebida;Pastas;$ 220,00;$ 55,61;15%
15;15/10/2018;10;Fabricio;Bebida;Pastas;$ 220,00;$ 145,96;15%
15;12/11/2019;10;Fabricio;Bebida;Pizzas;$ 250,00;$ 95,45;15%
15;13/6/2019;10;Fabricio;Bebida;Ensaladas;$ 150,00;$ 68,88;15%
16;15/3/2019;8;Miriam;Comida;Gaseosa;$ 90,00;$ 18,50;11%
16;7/12/2019;8;Miriam;Comida;Gaseosa;$ 90,00;$ 16,00;11%
16;11/9/2018;8;Miriam;Comida;Gaseosa;$ 90,00;$ 14,60;11%
16;5/12/2019;8;Miriam;Comida;Cervezas;$ 110,00;$ 21,25;11%
16;3/9/2018;8;Miriam;Comida;Cervezas;$ 110,00;$ 21,25;11%
16;22/11/2018;8;Miriam;Comida;Cervezas;$ 110,00;$ 21,90;11%
16;20/4/2019;8;Miriam;Comida;Cervezas;$ 110,00;$ 23,70;11%
16;7/11/2019;8;Miriam;Comida;Cervezas;$ 110,00;$ 32,40;11%
16;20/5/2019;8;Miriam;Comida;Cervezas;$ 110,00;$ 21,30;11%
16;11/5/2019;8;Miriam;Bebida;Chatarra;$ 70,00;$ 60,75;11%
16;18/1/2018;8;Miriam;Bebida;Ensaladas;$ 150,00;$ 63,00;11%
16;24/2/2018;8;Miriam;Bebida;Ensaladas;$ 150,00;$ 63,00;11%
16;13/8/2018;8;Miriam;Bebida;Ensaladas;$ 150,00;$ 68,00;11%
16;21/8/2019;8;Miriam;Bebida;Entradas;$ 105,00;$ 52,56;11%
16;4/7/2019;8;Miriam;Bebida;Entradas;$ 105,00;$ 56,25;11%
16;13/9/2018;8;Miriam;Bebida;Pizzas;$ 250,00;$ 105,00;11%
16;16/5/2019;8;Miriam;Bebida;Pastas;$ 220,00;$ 95,85;11%
16;27/2/2019;8;Miriam;Bebida;Pastas;$ 220,00;$ 54,60;11%
17;18/5/2019;2;Miriam;Comida;Gaseosa;$ 90,00;$ 18,00;13%
17;27/7/2018;2;Miriam;Comida;Gaseosa;$ 90,00;$ 16,00;13%
17;12/10/2019;2;Miriam;Comida;Cervezas;$ 110,00;$ 24,90;13%
17;7/2/2018;2;Miriam;Comida;Cervezas;$ 110,00;$ 32,40;13%
17;9/12/2018;2;Miriam;Bebida;Postres;$ 80,00;$ 39,00;13%
17;25/8/2018;2;Miriam;Bebida;Pizzas;$ 250,00;$ 105,00;13%
17;15/4/2019;2;Miriam;Bebida;Pastas;$ 220,00;$ 145,96;13%
18;19/5/2019;5;Javier;Comida;Gaseosa;$ 90,00;$ 17,75;6%
18;17/4/2019;5;Javier;Comida;Cervezas;$ 110,00;$ 24,90;6%
18;28/8/2018;5;Javier;Comida;Cervezas;$ 110,00;$ 21,90;6%
18;5/2/2019;5;Javier;Comida;Cervezas;$ 110,00;$ 21,90;6%
18;21/5/2018;5;Javier;Bebida;Chatarra;$ 70,00;$ 60,06;6%
18;9/7/2018;5;Javier;Bebida;Chatarra;$ 70,00;$ 66,36;6%
18;31/5/2019;5;Javier;Bebida;Entradas;$ 105,00;$ 56,98;6%
18;30/6/2018;5;Javier;Bebida;Pizzas;$ 250,00;$ 105,30;6%
19;2/7/2019;14;Maria;Comida;Gaseosa;$ 90,00;$ 18,00;8%
19;27/10/2018;14;Maria;Comida;Gaseosa;$ 90,00;$ 17,75;8%
19;27/8/2019;14;Maria;Comida;Gaseosa;$ 90,00;$ 18,25;8%
19;6/11/2018;14;Maria;Comida;Gaseosa;$ 90,00;$ 18,25;8%
19;23/9/2018;14;Maria;Comida;Cervezas;$ 110,00;$ 18,00;8%
19;30/4/2018;14;Maria;Bebida;Ensaladas;$ 150,00;$ 56,58;8%
19;2/5/2018;14;Maria;Bebida;Pizzas;$ 250,00;$ 73,50;8%
19;1/4/2019;14;Maria;Bebida;Pizzas;$ 250,00;$ 95,45;8%
19;21/2/2019;14;Maria;Bebida;Pastas;$ 220,00;$ 150,48;8%
19;13/5/2019;14;Maria;Bebida;Pastas;$ 220,00;$ 121,80;8%
20;30/9/2018;12;Joaquin;Comida;Gaseosa;$ 90,00;$ 20,00;10%
20;29/7/2019;12;Joaquin;Comida;Gaseosa;$ 90,00;$ 20,00;10%
20;14/4/2019;12;Joaquin;Comida;Gaseosa;$ 90,00;$ 18,50;10%
20;8/2/2019;12;Joaquin;Comida;Gaseosa;$ 90,00;$ 14,60;10%
20;27/12/2018;12;Joaquin;Comida;Cervezas;$ 110,00;$ 21,90;10%
20;16/11/2019;12;Joaquin;Comida;Cervezas;$ 110,00;$ 21,30;10%
20;17/3/2018;12;Joaquin;Bebida;Ensaladas;$ 150,00;$ 54,60;10%
20;22/5/2019;12;Joaquin;Bebida;Entradas;$ 105,00;$ 63,18;10%
20;1/4/2018;12;Joaquin;Bebida;Pizzas;$ 250,00;$ 81,90;10%
20;12/6/2019;12;Joaquin;Bebida;Pastas;$ 220,00;$ 132,84;10%
21;19/9/2018;16;Javier;Comida;Gaseosa;$ 90,00;$ 18,50;5%
21;8/5/2018;16;Javier;Comida;Gaseosa;$ 90,00;$ 16,00;5%
21;23/1/2018;16;Javier;Comida;Gaseosa;$ 90,00;$ 18,25;5%
21;8/4/2019;16;Javier;Comida;Cervezas;$ 110,00;$ 21,90;5%
21;29/8/2019;16;Javier;Comida;Cervezas;$ 110,00;$ 21,90;5%
21;24/8/2019;16;Javier;Comida;Cervezas;$ 110,00;$ 21,30;5%
21;10/10/2019;16;Javier;Bebida;Postres;$ 80,00;$ 39,00;5%
21;22/2/2018;16;Javier;Bebida;Postres;$ 80,00;$ 29,60;5%
21;16/7/2018;16;Javier;Bebida;Entradas;$ 105,00;$ 52,56;5%
21;20/8/2018;16;Javier;Bebida;Entradas;$ 105,00;$ 42,40;5%
21;10/9/2019;16;Javier;Bebida;Pizzas;$ 250,00;$ 105,30;5%
21;14/3/2018;16;Javier;Bebida;Pizzas;$ 250,00;$ 81,90;5%
21;12/5/2019;16;Javier;Bebida;Pizzas;$ 250,00;$ 91,25;5%
21;11/6/2019;16;Javier;Bebida;Pizzas;$ 250,00;$ 112,05;5%
21;29/3/2019;16;Javier;Bebida;Pastas;$ 220,00;$ 90,00;5%
22;30/12/2018;9;Maria;Comida;Gaseosa;$ 90,00;$ 18,00;8%
22;18/11/2018;9;Maria;Comida;Gaseosa;$ 90,00;$ 18,50;8%
22;11/12/2019;9;Maria;Comida;Gaseosa;$ 90,00;$ 14,60;8%
22;9/5/2019;9;Maria;Comida;Cervezas;$ 110,00;$ 21,25;8%
22;9/9/2019;9;Maria;Comida;Cervezas;$ 110,00;$ 21,90;8%
22;2/8/2018;9;Maria;Comida;Cervezas;$ 110,00;$ 21,90;8%
22;3/8/2019;9;Maria;Comida;Cervezas;$ 110,00;$ 23,70;8%
22;20/11/2019;9;Maria;Comida;Cervezas;$ 110,00;$ 23,70;8%
22;23/3/2019;9;Maria;Comida;Cervezas;$ 110,00;$ 18,00;8%
22;13/12/2018;9;Maria;Bebida;Postres;$ 80,00;$ 33,60;8%
22;15/5/2018;9;Maria;Bebida;Ensaladas;$ 150,00;$ 68,00;8%
22;15/3/2019;9;Maria;Bebida;Entradas;$ 105,00;$ 53,76;8%
22;27/7/2018;9;Maria;Bebida;Entradas;$ 105,00;$ 63,20;8%
22;20/8/2018;9;Maria;Bebida;Pizzas;$ 250,00;$ 91,25;8%
22;19/7/2019;9;Maria;Bebida;Pastas;$ 220,00;$ 90,00;8%
23;1/11/2018;17;Joaquin;Comida;Gaseosa;$ 90,00;$ 18,50;15%
23;23/9/2019;17;Joaquin;Comida;Gaseosa;$ 90,00;$ 21,60;15%
23;30/5/2018;17;Joaquin;Comida;Cervezas;$ 110,00;$ 21,25;15%
23;12/5/2018;17;Joaquin;Comida;Cervezas;$ 110,00;$ 24,90;15%
23;3/1/2018;17;Joaquin;Comida;Cervezas;$ 110,00;$ 24,90;15%
23;9/4/2018;17;Joaquin;Comida;Cervezas;$ 110,00;$ 21,30;15%
23;14/11/2018;17;Joaquin;Bebida;Pastas;$ 220,00;$ 54,60;15%
23;13/4/2018;17;Joaquin;Bebida;Pizzas;$ 250,00;$ 81,90;15%
23;28/1/2018;17;Joaquin;Bebida;Pizzas;$ 250,00;$ 88,56;15%
23;25/5/2019;17;Joaquin;Bebida;Postres;$ 80,00;$ 39,00;15%
23;30/11/2019;17;Joaquin;Bebida;Chatarra;$ 70,00;$ 60,75;15%
24;31/7/2018;7;Maria;Comida;Gaseosa;$ 90,00;$ 12,60;13%
24;13/4/2019;7;Maria;Comida;Gaseosa;$ 90,00;$ 12,60;13%
24;19/12/2018;7;Maria;Comida;Cervezas;$ 110,00;$ 24,90;13%
24;22/11/2018;7;Maria;Bebida;Entradas;$ 105,00;$ 53,76;13%
24;26/4/2018;7;Maria;Bebida;Pizzas;$ 250,00;$ 105,30;13%
24;2/1/2018;7;Maria;Bebida;Pizzas;$ 250,00;$ 95,45;13%
24;19/6/2019;7;Maria;Bebida;Pastas;$ 220,00;$ 121,80;13%
25;4/2/2019;13;Joaquin;Comida;Gaseosa;$ 90,00;$ 16,00;5%
25;13/2/2018;13;Joaquin;Comida;Gaseosa;$ 90,00;$ 12,60;5%
25;28/3/2018;13;Joaquin;Comida;Gaseosa;$ 90,00;$ 21,60;5%
25;15/2/2019;13;Joaquin;Comida;Cervezas;$ 110,00;$ 24,90;5%
25;25/8/2019;13;Joaquin;Comida;Cervezas;$ 110,00;$ 21,90;5%
25;16/1/2019;13;Joaquin;Comida;Cervezas;$ 110,00;$ 21,90;5%
25;23/4/2019;13;Joaquin;Comida;Cervezas;$ 110,00;$ 23,70;5%
25;29/8/2019;13;Joaquin;Comida;Cervezas;$ 110,00;$ 23,70;5%
25;28/9/2018;13;Joaquin;Bebida;Chatarra;$ 70,00;$ 60,06;5%
25;13/2/2018;13;Joaquin;Bebida;Ensaladas;$ 150,00;$ 68,00;5%
25;6/11/2019;13;Joaquin;Bebida;Ensaladas;$ 150,00;$ 54,60;5%
25;12/8/2018;13;Joaquin;Bebida;Ensaladas;$ 150,00;$ 68,88;5%
25;8/5/2019;13;Joaquin;Bebida;Entradas;$ 105,00;$ 56,25;5%
25;5/10/2018;13;Joaquin;Bebida;Entradas;$ 105,00;$ 56,25;5%
25;5/11/2018;13;Joaquin;Bebida;Entradas;$ 105,00;$ 56,25;5%
25;13/8/2019;13;Joaquin;Bebida;Pizzas;$ 250,00;$ 88,56;5%
25;25/6/2018;13;Joaquin;Bebida;Pizzas;$ 250,00;$ 88,56;5%
25;14/6/2019;13;Joaquin;Bebida;Pastas;$ 220,00;$ 90,00;5%
26;26/5/2018;13;Fabricio;Comida;Gaseosa;$ 90,00;$ 18,25;15%
26;20/3/2019;13;Fabricio;Comida;Cervezas;$ 110,00;$ 21,90;15%
26;24/8/2018;13;Fabricio;Comida;Cervezas;$ 110,00;$ 23,70;15%
26;13/8/2019;13;Fabricio;Comida;Cervezas;$ 110,00;$ 18,00;15%
26;22/1/2019;13;Fabricio;Comida;Cervezas;$ 110,00;$ 21,30;15%
26;12/8/2018;13;Fabricio;Comida;Cervezas;$ 110,00;$ 21,30;15%
26;25/4/2019;13;Fabricio;Bebida;Pastas;$ 220,00;$ 55,61;15%
26;12/10/2018;13;Fabricio;Bebida;Pastas;$ 220,00;$ 95,85;15%
26;24/4/2018;13;Fabricio;Bebida;Entradas;$ 105,00;$ 42,40;15%
26;18/4/2019;13;Fabricio;Bebida;Ensaladas;$ 150,00;$ 68,88;15%
26;9/7/2019;13;Fabricio;Bebida;Ensaladas;$ 150,00;$ 75,65;15%
26;7/4/2019;13;Fabricio;Bebida;Postres;$ 80,00;$ 31,50;15%
27;12/3/2019;7;Maria;Comida;Gaseosa;$ 90,00;$ 17,75;5%
27;20/6/2018;7;Maria;Comida;Gaseosa;$ 90,00;$ 14,60;5%
27;31/1/2018;7;Maria;Comida;Cervezas;$ 110,00;$ 21,90;5%
27;18/9/2019;7;Maria;Comida;Cervezas;$ 110,00;$ 23,70;5%
27;20/11/2019;7;Maria;Comida;Cervezas;$ 110,00;$ 21,30;5%
27;17/10/2018;7;Maria;Bebida;Postres;$ 80,00;$ 39,00;5%
27;15/1/2018;7;Maria;Bebida;Ensaladas;$ 150,00;$ 56,58;5%
27;21/4/2019;7;Maria;Bebida;Entradas;$ 105,00;$ 53,76;5%
27;6/8/2019;7;Maria;Bebida;Entradas;$ 105,00;$ 53,76;5%
27;29/8/2019;7;Maria;Bebida;Entradas;$ 105,00;$ 56,25;5%
27;26/10/2018;7;Maria;Bebida;Pizzas;$ 250,00;$ 91,25;5%
28;19/9/2019;14;Javier;Comida;Gaseosa;$ 90,00;$ 18,00;13%
28;23/8/2019;14;Javier;Comida;Gaseosa;$ 90,00;$ 17,75;13%
